name,baseline_acc,baseline_auc,finetuned_acc,finetuned_auc,auc_diff,acc_diff
AllGestureWiimoteX,0.6042857142857143,0.9246428571428572,0.5757142857142857,0.9270725623582766,0.0024297052154194088,-0.02857142857142858
AllGestureWiimoteY,0.6642857142857143,0.9400793650793651,0.6757142857142857,0.9401655328798185,8.616780045345163e-05,0.011428571428571455
AllGestureWiimoteZ,0.5885714285714285,0.9191020408163265,0.56,0.9161065759637188,-0.00299546485260771,-0.02857142857142847
ArrowHead,0.7257142857142858,0.9100519850395453,0.8,0.9404301354838615,0.030378150444316132,0.07428571428571429
BME,1.0,1.0,1.0,1.0,0.0,0.0
Beef,0.9333333333333333,0.986111111111111,0.9333333333333333,0.9847222222222222,-0.001388888888888884,0.0
CBF,0.9288888888888889,0.9950973684454659,0.94,0.9961350871558617,0.0010377187103958185,0.011111111111111072
Chinatown,0.9854227405247813,0.9953003503375204,0.9854227405247813,0.9951294539861574,-0.00017089635136302572,0.0
ChlorineConcentration,0.9729166666666667,0.9985016672495165,0.9466145833333334,0.9915623067816409,-0.006939360467875577,-0.02630208333333328
Coffee,1.0,1.0,1.0,1.0,0.0,0.0
Colposcopy,0.33663366336633666,0.600145839573408,0.43564356435643564,0.654114585380586,0.05396874580717803,0.09900990099009899
DiatomSizeReduction,0.9705882352941176,1.0,0.9705882352941176,1.0,0.0,0.0
DistalPhalanxOutlineAgeGroup,0.7410071942446043,0.9021423771628801,0.7553956834532374,0.9089755114495409,0.006833134286660769,0.014388489208633115
DistalPhalanxOutlineCorrect,0.7862318840579711,0.8622738320280853,0.7934782608695652,0.8738050229543614,0.01153119092627608,0.007246376811594124
DistalPhalanxTW,0.6906474820143885,0.9093701008690137,0.697841726618705,0.9058833698134211,-0.0034867310555926068,0.007194244604316502
DodgerLoopDay,0.6363636363636364,0.909222135282176,0.6363636363636364,0.9184034531727884,0.009181317890612384,0.0
DodgerLoopGame,0.7480314960629921,0.8198511166253101,0.7716535433070866,0.8473945409429281,0.027543424317618026,0.023622047244094446
DodgerLoopWeekend,0.9841269841269841,0.9868925831202047,0.9841269841269841,0.9868925831202047,0.0,0.0
ECG200,0.88,0.9366319444444445,0.87,0.9296875,-0.006944444444444531,-0.010000000000000009
ECG5000,0.9411111111111111,0.9502698968937823,0.9404444444444444,0.9520823237814406,0.0018124268876583693,-0.0006666666666667043
ECGFiveDays,0.967479674796748,0.9973856597094818,0.9558652729384437,0.9917981481081781,-0.005587511601303663,-0.011614401858304313
ERing,0.9259259259259259,0.994633744855967,0.9259259259259259,0.9947489711934155,0.00011522633744853739,0.0
ElectricDeviceDetection,0.8532377919320594,0.738910287039519,0.8720806794055201,0.666133881851131,-0.07277640518838802,0.018842887473460745
FaceFour,0.9318181818181818,0.9909200185959717,0.9431818181818182,0.992591291894811,0.0016712732988393153,0.011363636363636465
Fish,0.8914285714285715,0.9940578321694741,0.8685714285714285,0.992151981316596,-0.0019058508528780882,-0.02285714285714291
FordA,0.921969696969697,0.9771876486525615,0.9098484848484848,0.9739991589281158,-0.003188489724445631,-0.0121212121212122
FordB,0.7864197530864198,0.8685468480388271,0.7753086419753087,0.8710710997567207,0.002524251717893611,-0.011111111111111072
FreezerRegularTrain,0.9985964912280701,0.9999847337642351,0.9933333333333333,0.9999438596491228,-4.087411511233263e-05,-0.0052631578947368585
FreezerSmallTrain,0.9361403508771929,0.9926234533702679,0.9221052631578948,0.9881686672822407,-0.004454786088027185,-0.014035087719298178
GesturePebbleZ1,0.8313953488372093,0.9834866953627747,0.813953488372093,0.9831760806463175,-0.0003106147164572137,-0.01744186046511631
GesturePebbleZ2,0.7721518987341772,0.9540134327252439,0.7278481012658228,0.9643186621478411,0.010305229422597262,-0.044303797468354444
GunPoint,0.94,0.9896870554765291,0.9666666666666667,0.990398293029872,0.0007112375533429027,0.026666666666666727
GunPointAgeSpan,0.9968354430379747,1.0,0.9873417721518988,0.9995192307692308,-0.00048076923076922906,-0.009493670886075889
GunPointMaleVersusFemale,1.0,1.0,0.9968354430379747,1.0,0.0,-0.0031645569620253333
GunPointOldVersusYoung,1.0,0.9999999999999999,1.0,1.0,1.1102230246251565e-16,0.0
Ham,0.7333333333333333,0.8159041394335512,0.7047619047619048,0.822076978939724,0.006172839506172756,-0.02857142857142847
ItalyPowerDemand,0.9718172983479106,0.9936420508635931,0.9718172983479106,0.9954289254574852,0.0017868745938920405,0.0
JapaneseVowels,0.9918918918918919,0.9997793986337385,0.9864864864864865,0.999753112458778,-2.628617496058805e-05,-0.00540540540540535
Lightning7,0.6712328767123288,0.9426265596743958,0.7671232876712328,0.9499252718398766,0.007298712165480836,0.09589041095890405
Meat,1.0,1.0,0.95,0.9995833333333334,-0.0004166666666666208,-0.050000000000000044
MedicalImages,0.8,0.9781549226619664,0.8039473684210526,0.9765051409323867,-0.0016497817295796358,0.003947368421052588
MelbournePedestrian,0.9793014230271668,0.9995572165382495,0.9771453212591634,0.999541974692144,-1.5241846105462642e-05,-0.0021561017680034045
MiddlePhalanxOutlineAgeGroup,0.6168831168831169,0.6398852380889998,0.6428571428571429,0.6339764428698599,-0.005908795219139895,0.025974025974025983
MiddlePhalanxOutlineCorrect,0.8487972508591065,0.9285060240963856,0.8487972508591065,0.9317108433734941,0.0032048192771084727,0.0
MiddlePhalanxTW,0.6103896103896104,0.8097103316344635,0.6298701298701299,0.7934217812366039,-0.01628855039785959,0.019480519480519543
MoteStrain,0.884185303514377,0.9605302009114833,0.884185303514377,0.9603389177739264,-0.00019128313755689685,0.0
OSULeaf,0.6157024793388429,0.9108965781372138,0.5950413223140496,0.9044791919511139,-0.006417386186099883,-0.02066115702479332
PhalangesOutlinesCorrect,0.8484848484848485,0.9216352100416877,0.8438228438228438,0.9161121673003803,-0.005523042741307438,-0.004662004662004726
PickupGestureWiimoteZ,0.7,0.9226666666666666,0.68,0.9133333333333333,-0.009333333333333305,-0.019999999999999907
Plane,0.9904761904761905,1.0,0.9904761904761905,0.9998996789727127,-0.00010032102728729786,0.0
PowerCons,1.0,1.0,1.0,1.0,0.0,0.0
ProximalPhalanxOutlineAgeGroup,0.8585365853658536,0.9412593200615729,0.8536585365853658,0.9377660847010033,-0.0034932353605695576,-0.004878048780487809
ProximalPhalanxOutlineCorrect,0.9072164948453608,0.9661350229407909,0.8900343642611683,0.9603725147476513,-0.005762508193139615,-0.01718213058419249
ProximalPhalanxTW,0.8146341463414634,0.9360716806935888,0.8146341463414634,0.9437901902154341,0.007718509521845274,0.0
RacketSports,0.8552631578947368,0.9697051852197568,0.8618421052631579,0.9674763879575726,-0.002228797262184168,0.006578947368421018
ShakeGestureWiimoteZ,0.74,0.9751111111111112,0.74,0.971111111111111,-0.004000000000000115,0.0
ShapeletSim,0.48333333333333334,0.4678395061728395,0.48333333333333334,0.4667901234567901,-0.001049382716049374,0.0
SharePriceIncrease,0.6977225672877847,0.6626395671241332,0.6956521739130435,0.6559020155409206,-0.006737551583212542,-0.0020703933747412417
SmoothSubspace,1.0,1.0,1.0,1.0,0.0,0.0
SonyAIBORobotSurface1,0.8219633943427621,0.9586751644179267,0.8502495840266223,0.9757497683458766,0.017074603927949905,0.028286189683860208
SonyAIBORobotSurface2,0.8342077649527807,0.9094772155437516,0.832109129066107,0.9113852390271177,0.0019080234833660503,-0.0020986358866736943
Strawberry,0.981081081081081,0.994938884644767,0.9783783783783784,0.9936974789915967,-0.0012414056531703244,-0.002702702702702675
Symbols,0.8904522613065327,0.9823801211721097,0.907537688442211,0.98692331988256,0.00454319871045028,0.0170854271356784
SyntheticControl,0.9866666666666667,0.9998933333333334,0.9933333333333333,0.9998533333333334,-4.0000000000040004e-05,0.006666666666666599
ToeSegmentation1,0.5745614035087719,0.6120370370370372,0.6052631578947368,0.6401234567901235,0.028086419753086345,0.030701754385964897
ToeSegmentation2,0.7,0.7946147798742138,0.7923076923076923,0.8669418238993711,0.07232704402515733,0.09230769230769231
Trace,0.96,0.9975459482038429,0.94,0.996524151814722,-0.0010217963891209214,-0.020000000000000018
TwoLeadECG,0.9438103599648815,0.9878164215459563,0.95171202809482,0.9885163259642957,0.0006999044183394476,0.007901668129938533
TwoPatterns,0.998,0.9999953438876458,0.998,0.9999877779100425,-7.565977603318785e-06,0.0
UMD,1.0,1.0,1.0,1.0,0.0,0.0
UWaveGestureLibraryX,0.8115577889447236,0.9703622421976952,0.8073701842546064,0.9676441281143403,-0.0027181140833548723,-0.0041876046901172526
UWaveGestureLibraryY,0.7238972640982692,0.9543182251874665,0.7051926298157454,0.9523139932805768,-0.0020042319068896974,-0.01870463428252378
UWaveGestureLibraryZ,0.7629815745393634,0.9626104717924076,0.7453936348408711,0.9595874389850408,-0.00302303280736671,-0.017587939698492372
Wafer,0.994646333549643,0.9995899459505283,0.995619727449708,0.9995050364591238,-8.490949140449455e-05,0.0009733939000649006
Wine,0.7777777777777778,0.8010973936899863,0.7407407407407407,0.8381344307270232,0.03703703703703687,-0.03703703703703709
Yoga,0.865,0.9448254696899914,0.8263333333333334,0.9248936030494728,-0.019931866640518603,-0.03866666666666663
